code,name,name_en,market,sector
1301,極洋,Kyokuyo,東証プライム,水産・農林業
1332,日本水産,Nissui,東証プライム,水産・農林業
1605,INPEX,INPEX,東証プライム,鉱業
1963,日揮ホールディングス,JGC Holdings,東証プライム,建設業
2269,明治ホールディングス,Meiji Holdings,東証プライム,食料品
2502,アサヒグループホールディングス,Asahi Group Holdings,東証プライム,食料品
2503,キリンホールディングス,Kirin Holdings,東証プライム,食料品
2801,キッコーマン,Kikkoman,東証プライム,食料品
2914,日本たばこ産業,Japan Tobacco,東証プライム,食料品
3382,セブン&アイ・ホールディングス,Seven & i Holdings,東証プライム,小売業
3401,帝人,Teijin,東証プライム,繊維製品
3402,東レ,Toray Industries,東証プライム,繊維製品
4063,信越化学工業,Shin-Etsu Chemical,東証プライム,化学
4183,三井化学,Mitsui Chemicals,東証プライム,化学
4188,三菱ケミカルグループ,Mitsubishi Chemical Group,東証プライム,化学
4502,武田薬品工業,Takeda Pharmaceutical,東証プライム,医薬品
4503,アステラス製薬,Astellas Pharma,東証プライム,医薬品
4568,第一三共,Daiichi Sankyo,東証プライム,医薬品
5108,ブリヂストン,Bridgestone,東証プライム,ゴム製品
5201,AGC,AGC,東証プライム,ガラス・土石製品
5332,TOTO,TOTO,東証プライム,ガラス・土石製品
5401,日本製鉄,Nippon Steel,東証プライム,鉄鋼
5411,ジェイ エフ イー ホールディングス,JFE Holdings,東証プライム,鉄鋼
5711,三菱マテリアル,Mitsubishi Materials,東証プライム,非鉄金属
5801,古河電気工業,Furukawa Electric,東証プライム,非鉄金属
6301,小松製作所,Komatsu,東証プライム,機械
6367,ダイキン工業,Daikin Industries,東証プライム,機械
6471,日本精工,NSK,東証プライム,機械
6501,日立製作所,Hitachi,東証プライム,電気機器
6503,三菱電機,Mitsubishi Electric,東証プライム,電気機器
6506,安川電機,Yaskawa Electric,東証プライム,電気機器
6645,オムロン,Omron,東証プライム,電気機器
6702,富士通,Fujitsu,東証プライム,電気機器
6723,ルネサスエレクトロニクス,Renesas Electronics,東証プライム,電気機器
6758,ソニーグループ,Sony Group,東証プライム,電気機器
6762,TDK,TDK,東証プライム,電気機器
6841,横河電機,Yokogawa Electric,東証プライム,電気機器
6857,アドバンテスト,Advantest,東証プライム,電気機器
6861,キーエンス,Keyence,東証プライム,電気機器
6902,デンソー,Denso,東証プライム,輸送用機器
6954,ファナック,Fanuc,東証プライム,電気機器
6981,村田製作所,Murata Manufacturing,東証プライム,電気機器
7003,三井E&Sホールディングス,Mitsui E&S Holdings,東証プライム,輸送用機器
7011,三菱重工業,Mitsubishi Heavy Industries,東証プライム,機械
7201,日産自動車,Nissan Motor,東証プライム,輸送用機器
7203,トヨタ自動車,Toyota Motor,東証プライム,輸送用機器
7267,ホンダ,Honda Motor,東証プライム,輸送用機器
7269,スズキ,Suzuki Motor,東証プライム,輸送用機器
7270,SUBARU,Subaru,東証プライム,輸送用機器
7272,ヤマハ発動機,Yamaha Motor,東証プライム,輸送用機器
7733,オリンパス,Olympus,東証プライム,精密機器
7741,HOYA,HOYA,東証プライム,精密機器
7751,キヤノン,Canon,東証プライム,電気機器
7752,リコー,Ricoh,東証プライム,電気機器
7832,バンダイナムコホールディングス,Bandai Namco Holdings,東証プライム,その他製品
7974,任天堂,Nintendo,東証プライム,その他製品
8001,伊藤忠商事,Itochu,東証プライム,卸売業
8002,丸紅,Marubeni,東証プライム,卸売業
8015,豊田通商,Toyota Tsusho,東証プライム,卸売業
8031,三井物産,Mitsui & Co,東証プライム,卸売業
8053,住友商事,Sumitomo Corporation,東証プライム,卸売業
8058,三菱商事,Mitsubishi Corporation,東証プライム,卸売業
8035,東京エレクトロン,Tokyo Electron,東証プライム,電気機器
8306,三菱UFJフィナンシャル・グループ,Mitsubishi UFJ Financial Group,東証プライム,銀行業
8316,三井住友フィナンシャルグループ,Sumitomo Mitsui Financial Group,東証プライム,銀行業
8331,千葉銀行,Chiba Bank,東証プライム,銀行業
8411,みずほフィナンシャルグループ,Mizuho Financial Group,東証プライム,銀行業
8473,SBIホールディングス,SBI Holdings,東証プライム,証券・商品先物取引業
8591,オリックス,Orix,東証プライム,その他金融業
8766,東京海上ホールディングス,Tokio Marine Holdings,東証プライム,保険業
8802,三菱地所,Mitsubishi Estate,東証プライム,不動産業
8830,住友不動産,Sumitomo Realty & Development,東証プライム,不動産業
9020,東日本旅客鉄道,East Japan Railway,東証プライム,陸運業
9021,西日本旅客鉄道,West Japan Railway,東証プライム,陸運業
9022,東海旅客鉄道,Central Japan Railway,東証プライム,陸運業
9101,日本郵船,Nippon Yusen,東証プライム,海運業
9104,商船三井,Mitsui O.S.K. Lines,東証プライム,海運業
9301,三菱倉庫,Mitsubishi Logistics,東証プライム,倉庫・運輸関連業
9433,KDDI,KDDI,東証プライム,情報・通信業
9434,ソフトバンク,SoftBank,東証プライム,情報・通信業
9613,NTTデータグループ,NTT Data Group,東証プライム,情報・通信業
9735,セコム,Secom,東証プライム,サービス業
9766,コナミグループ,Konami Group,東証プライム,情報・通信業
9983,ファーストリテイリング,Fast Retailing,東証プライム,小売業
9984,ソフトバンクグループ,SoftBank Group,東証プライム,情報・通信業
285A,キオクシアホールディングス,Kioxia Holdings,東証プライム,電気機器
